'quibble', Angle: 186.441605, Intensity: 0.500000
'quit', Angle: NaN, Intensity: 0.000000
'quitter', Angle: 179.537949, Intensity: 0.500000
'radical', Angle: NaN, Intensity: 0.000000
'rage', Angle: 255.635422, Intensity: 0.680000
'raid', Angle: 239.511047, Intensity: 0.500000
'ramble', Angle: NaN, Intensity: 0.000000
'rampant', Angle: 206.980225, Intensity: 0.490000
'rascal', Angle: 226.955688, Intensity: 0.580000
'rash', Angle: 196.966141, Intensity: 0.490000
'rat', Angle: 180.000000, Intensity: 0.550000
'ration', Angle: NaN, Intensity: 0.000000
'ravage', Angle: 227.027328, Intensity: 0.640000
'reactionary', Angle: 193.134018, Intensity: 0.490000
'reactive', Angle: NaN, Intensity: 0.000000
'rebel', Angle: 229.606293, Intensity: 0.600000
'rebellion', Angle: 228.239700, Intensity: 0.600000
'rebellious', Angle: 229.316025, Intensity: 0.600000
'rebuff', Angle: 205.083588, Intensity: 0.620000
'rebuke', Angle: 205.327377, Intensity: 0.580000
