'senseless', Angle: 107.354027, Intensity: 0.400000
'sequester', Angle: 196.831665, Intensity: 0.500000
'servitude', Angle: 149.743561, Intensity: 0.500000
'sever', Angle: 195.109573, Intensity: 0.410000
'severe', Angle: 193.790863, Intensity: 0.450000
'severity', Angle: 193.535858, Intensity: 0.440000
'shabby', Angle: 180.000000, Intensity: 0.580000
'shady', Angle: 140.136383, Intensity: 0.510000
'shaggy', Angle: NaN, Intensity: 0.000000
'shake', Angle: 250.655670, Intensity: 0.400000
'shallow', Angle: 109.179001, Intensity: 0.390000
'shame', Angle: 192.380753, Intensity: 0.500000
'shameful', Angle: 192.724350, Intensity: 0.510000
'shameless', Angle: 180.000000, Intensity: 0.500000
'shark', Angle: 180.000000, Intensity: 0.460000
'shipwreck', Angle: 227.290619, Intensity: 0.500000
'shirk', Angle: 249.333878, Intensity: 0.490000
'shiver', Angle: 250.240540, Intensity: 0.440000
'shock', Angle: 214.003723, Intensity: 0.610000
'shoddy', Angle: 112.533249, Intensity: 0.410000
'shoot', Angle: 228.251953, Intensity: 0.500000
'shortage', Angle: 156.501434, Intensity: 0.500000
'shortcoming', Angle: 108.725784, Intensity: 0.500000
'shortsighted', Angle: 139.600098, Intensity: 0.490000
'shot', Angle: 240.718567, Intensity: 0.490000
'shove', Angle: 210.256439, Intensity: 0.500000
