'sunder', Angle: 247.671341, Intensity: 0.480000
'superficial', Angle: NaN, Intensity: 0.000000
'superficiality', Angle: 111.801407, Intensity: 0.390000
'superfluous', Angle: 108.987625, Intensity: 0.390000
'superstition', Angle: 145.175507, Intensity: 0.560000
'superstitious', Angle: 145.980652, Intensity: 0.580000
'suppress', Angle: 225.000000, Intensity: 0.500000
'suppression', Angle: 225.000000, Intensity: 0.500000
'susceptible', Angle: 145.175507, Intensity: 0.560000
'suspect', Angle: 179.488434, Intensity: 0.450000
'suspend', Angle: NaN, Intensity: 0.000000
'suspension', Angle: NaN, Intensity: 0.000000
'suspicion', Angle: 180.502579, Intensity: 0.460000
'suspicious', Angle: 179.518524, Intensity: 0.480000
'swear', Angle: 204.057343, Intensity: 0.490000
'swore', Angle: NaN, Intensity: 0.000000
'symptom', Angle: 113.868332, Intensity: 0.490000
'taboo', Angle: 180.372040, Intensity: 0.620000
'taint', Angle: 246.557068, Intensity: 0.490000
'tamper', Angle: 247.594589, Intensity: 0.490000
'tantrum', Angle: 202.724106, Intensity: 0.510000
'tardy', Angle: 160.407715, Intensity: 0.500000
'tariff', Angle: 179.427063, Intensity: 0.400000
'tatter', Angle: 158.369110, Intensity: 0.500000
'taunt', Angle: 196.389542, Intensity: 0.500000
