'unreliability', Angle: 157.520569, Intensity: 0.500000
'unreliable', Angle: 156.217972, Intensity: 0.520000
'unrest', Angle: 226.273026, Intensity: 0.510000
'unruly', Angle: 196.699249, Intensity: 0.500000
'unsafe', Angle: 169.859207, Intensity: 0.500000
'unsatisfactory', Angle: 106.858398, Intensity: 0.410000
'unscrupulous', Angle: 156.921783, Intensity: 0.500000
'unseen', Angle: NaN, Intensity: 0.000000
'unsettling', Angle: 189.527283, Intensity: 0.580000
'unsound', Angle: 179.541641, Intensity: 0.500000
'unspeakable', Angle: 139.153854, Intensity: 0.510000
'unstable', Angle: 167.872910, Intensity: 0.500000
'unsteadiness', Angle: 167.319611, Intensity: 0.490000
'unsteady', Angle: 167.074005, Intensity: 0.500000
'unsuccessful', Angle: 180.000000, Intensity: 0.500000
'untimely', Angle: 129.746201, Intensity: 0.490000
'untrained', Angle: 106.821411, Intensity: 0.360000
'untrue', Angle: 138.516541, Intensity: 0.510000
'untrustworthy', Angle: 136.930588, Intensity: 0.500000
'untruth', Angle: 138.516541, Intensity: 0.510000
'unwilling', Angle: 138.596710, Intensity: 0.500000
'unwillingness', Angle: 138.215485, Intensity: 0.500000
'unwise', Angle: 157.520569, Intensity: 0.500000
'unworthy', Angle: 159.125351, Intensity: 0.510000
'upheaval', Angle: 226.636581, Intensity: 0.500000
'uprising', Angle: 225.971024, Intensity: 0.500000
'uproar', Angle: 225.993469, Intensity: 0.490000
'uproot', Angle: 225.320084, Intensity: 0.510000
'upset', Angle: 180.000000, Intensity: 0.500000
