'nuclear fallout', Angle: 180,000000, Intensity: 0,590000
'out of date', Angle: 141,241913, Intensity: 0,360000
'out of luck', Angle: 162,006912, Intensity: 0,490000
'poor health', Angle: 158,198593, Intensity: 0,500000
'population overflow', Angle: 204,200974, Intensity: 0,390000
'river overflows', Angle: 232,507355, Intensity: 0,370000
'rough (me/her/him/us/them) up', Angle: 252,590698, Intensity: 0,490000
'rough behavior', Angle: 180,000000, Intensity: 0,500000
'rough justice', Angle: 198,698990, Intensity: 0,550000
'rough lesson', Angle: 167,872910, Intensity: 0,500000
'rough up', Angle: 234,462326, Intensity: 0,550000
'ruin [v]', Angle: 236,604767, Intensity: 0,650000
'simpleton', Angle: 177,096191, Intensity: 0,550000
'slip into madness', Angle: 199,348465, Intensity: 0,560000
'smear campaign', Angle: 179,545288, Intensity: 0,500000
'stumbling block', Angle: 180,000000, Intensity: 0,490000
'tear [n]', Angle: 164,475891, Intensity: 0,370000
'tear [v]', Angle: 229,484604, Intensity: 0,580000
'the many cares of', Angle: 177,614059, Intensity: 0,580000
'thrash', Angle: 249,498566, Intensity: 0,490000
'too costly', Angle: 181,123306, Intensity: 0,410000
'too expensive', Angle: 180,000000, Intensity: 0,480000
'total farce', Angle: 180,000000, Intensity: 0,610000
'tough break', Angle: 173,927551, Intensity: 0,380000
'trap [n]', Angle: NaN, Intensity: 0,000000
'trap [v]', Angle: 249,775146, Intensity: 0,490000
'trash [n]', Angle: 180,000000, Intensity: 0,400000
'trash [v]', Angle: 228,638184, Intensity: 0,490000
'trial and conviction', Angle: 194,708298, Intensity: 0,330000
'uninteresting', Angle: 130,732117, Intensity: 0,570000
'unusable', Angle: 157,249023, Intensity: 0,540000
'utter fabrication', Angle: 197,504471, Intensity: 0,550000
'utter farce', Angle: 180,725220, Intensity: 0,630000
'vice [n]', Angle: 180,698700, Intensity: 0,660000
'went to its grave', Angle: 193,934830, Intensity: 0,550000
'wildfire', Angle: 180,520859, Intensity: 0,440000
'writer's block', Angle: 149,676392, Intensity: 0,490000
'wrong', Angle: 179,584824, Intensity: 0,550000
'wrought havoc', Angle: 227,700623, Intensity: 0,600000
'wrought with errors', Angle: 180,000000, Intensity: 0,600000
'wrought with evil', Angle: 180,000000, Intensity: 0,720000
'wrought with fraud', Angle: 180,000000, Intensity: 0,650000
'wrought with sadness', Angle: 164,415588, Intensity: 0,610000
'you are fired', Angle: 203,962494, Intensity: 0,630000
'you are nuts', Angle: NaN, Intensity: 0,000000
