205 191 188
180 180 157
0 270 181
180 192 191
105 264 189
210 212 205
227 227 228
234 200 203
231 231 252
156 196 189
235 224 229
194 225 189
180 225 192
181 189 189
235 190 192
246 235 230
251 154 249
270 270 0
0 126 102
165 168 190
0 223 194
180 169 186
251 192 193
270 248 233
228 189 243
231 222 195
180 212 192
231 0 213
253 248 229
180 211 192
250 202 229
144 0 193
180 197 243
213 180 186
139 146 134
155 140 0
257 198 189
230 208 228
170 171 193
181 190 192
158 169 109
185 200 0
226 192 213
200 192 195
227 194 213
250 223 207
195 157 136
180 193 180
251 270 230
180 146 109
227 202 158
209 199 0
0 209 227
252 0 193
180 180 214
265 196 244
134 127 0
252 246 231
229 206 243
134 156 107
254 155 248
211 220 214
226 209 243
158 169 108
144 161 110
180 193 243
180 180 214
132 186 189
207 188 238
146 154 189
250 246 230
131 0 102
139 115 111
126 146 106
154 168 108
270 247 240
180 200 197
253 154 250
211 158 180
195 195 255
133 138 180
180 141 111
248 270 228
200 187 195
265 0 198
232 246 227
139 153 190
150 168 136
225 222 205
250 0 229
170 180 193
229 230 252
127 133 136
248 222 252
265 235 230
233 221 246
234 224 230
242 233 240
251 270 215
232 159 198
0 128 100
181 190 159
0 231 251
136 114 109
228 221 225
229 222 227
238 167 198
260 251 256
205 214 194
254 0 197
192 207 256
201 188 191
152 147 0
129 145 0
180 129 194
180 167 186
124 146 0
180 190 187
161 189 189
180 0 0
247 213 212
128 130 0
203 214 194
221 246 191
237 190 198
159 180 0
159 160 156
142 125 101
226 208 243
252 193 0
242 238 241
189 206 192
160 180 158
156 172 108
227 165 192
180 196 188
