104 109 104 107
195 202 195 248
201 251 201 206
140 105 140 106
104 108 104 108
265 199 265 193
209 211 209 227
84 270 84 270
270 225 270 252
209 174 209 225
158 157 158 132
243 235 243 156
179 114 179 99
132 188 132 108
236 199 236 176
270 233 270 225
194 194 194 248
270 270 270 266
98 270 98 100
246 270 246 261
270 270 270 278
194 269 194 264
233 174 233 237
236 209 236 248
225 222 225 250
244 270 244 260
244 223 244 247
226 190 226 230
260 249 260 254
269 270 269 92
210 220 210 261
106 143 106 126
142 160 142 223
260 249 260 252
210 181 210 101
193 154 193 160
173 197 173 138
90 222 90 230
137 186 137 167
132 102 132 162
137 187 137 110
193 270 193 281
130 101 130 115
206 194 206 180
248 205 248 229
269 270 269 270
141 159 141 223
142 97 142 156
99 98 99 90
255 249 255 231
261 260 261 261
264 251 264 264
234 245 234 250
98 144 98 96
248 226 248 252
181 223 181 237
197 199 197 256
261 251 261 252
222 195 222 249
206 194 206 194
225 230 225 203
99 98 99 92
140 175 140 188
270 216 270 248
210 238 210 252
180 180 180 180
249 250 249 258
263 251 263 223
266 252 266 266
227 192 227 228
99 90 99 96
226 220 226 250
264 232 264 263
270 240 270 244
145 159 145 176
180 198 180 257
79 266 79 266
233 209 233 248
271 269 271 225
212 194 212 190
226 189 226 215
188 191 188 232
249 161 249 172
210 270 210 262
104 90 104 102
236 238 236 254
205 195 205 196
252 191 252 180
218 174 218 180
247 248 247 249
98 158 98 127
225 221 225 250
90 230 90 159
137 104 137 90
129 180 129 196
101 107 101 90
229 187 229 217
77 266 77 265
209 190 209 180
226 229 226 204
181 145 181 138
192 188 192 209
190 229 190 184
137 191 137 217
211 235 211 250
249 270 249 251
104 168 104 105
137 185 137 167
248 253 248 270
262 243 262 186
203 180 203 180
251 255 251 265
273 90 273 106
110 158 110 125
263 231 263 265
256 205 256 254
253 252 253 254
110 90 110 95
155 213 155 224
263 250 263 265
209 186 209 268
170 174 170 183
92 135 92 99
91 269 91 106
212 220 212 260
207 141 207 180
261 250 261 251
142 188 142 133
264 255 264 252
211 192 211 192
270 185 270 166
255 254 255 254
207 222 207 261
196 270 196 270
246 247 246 210
199 270 199 265
191 205 191 226
143 90 143 250
171 184 171 192
270 270 270 99
253 254 253 266
239 199 239 176
209 189 209 101
138 191 138 217
246 248 246 250
254 228 254 224
246 251 246 266
