303 345 31
0 14 50
355 341 360
360 31 22
328 317 335
0 12 312
0 24 358
9 14 345
12 345 0
316 323 334
284 296 298
14 25 1
0 13 18
321 317 318
297 56 339
361 66 0
360 27 7
317 349 334
355 350 360
350 352 352
314 328 320
295 300 325
312 307 307
0 352 351
339 340 342
0 340 347
347 337 39
295 298 323
295 317 315
331 10 359
0 17 360
360 24 19
0 31 343
360 0 360
19 329 304
0 8 360
7 32 32
1 12 51
360 17 359
0 11 23
295 298 316
359 58 25
346 296 303
180 0 1
360 15 356
360 46 331
326 340 350
0 33 27
7 34 32
303 337 337
0 14 315
345 319 290
0 323 303
0 296 303
0 24 20
0 344 353
355 341 359
0 23 360
297 319 321
345 319 340
359 63 24
360 342 26
0 13 56
354 341 335
0 7 359
303 324 343
360 48 332
360 33 29
280 298 323
281 297 34
360 15 16
336 337 341
11 343 343
360 343 343
360 348 11
360 341 34
360 71 22
1 47 7
19 336 18
0 34 15
344 326 305
346 336 40
279 295 297
34 32 360
360 54 35
28 30 24
339 67 359
345 340 335
19 49 24
0 13 48
0 348 308
297 339 28
0 12 33
344 348 345
10 0 333
350 306 323
312 316 311
297 338 329
332 25 23
356 344 21
360 6 360
344 335 341
356 340 360
300 326 0
7 27 5
342 338 355
0 296 304
0 65 0
348 297 328
17 344 309
349 318 317
19 19 360
0 26 1
349 347 0
360 347 17
1 344 328
