11 12 2
1 1 2
11 11 12
12 2 1
12 12 12
0 1 11
1 1 12
1 1 12
1 12 1
11 11 12
1 1 1
10 10 10
1 1 1
11 11 11
10 2 12
13 3 1
12 1 1
11 12 12
12 12 12
12 12 12
11 11 11
10 10 11
11 11 11
0 12 12
12 12 12
0 12 12
12 12 2
10 10 11
10 11 11
12 1 12
0 1 12
12 1 1
1 2 12
12 0 12
1 11 11
1 1 12
1 2 2
1 1 2
12 1 12
0 1 1
10 10 11
12 2 1
12 10 11
12 1 12
6 0 1
13 2 12
1 2 1
11 12 12
1 2 2
11 12 12
1 1 11
12 11 10
0 11 11
0 10 11
0 1 1
0 12 12
1 1 12
10 11 11
12 12 12
12 11 12
12 3 1
12 12 1
1 1 2
12 12 12
11 11 12
1 1 12
12 2 12
10 10 11
12 2 1
10 10 2
12 1 1
12 12 12
1 12 12
12 12 1
12 12 12
12 12 2
12 3 1
1 2 1
1 12 1
1 2 1
12 11 11
12 12 2
10 10 10
2 2 12
12 2 2
1 1 1
12 12 12
12 3 12
1 1 2
1 2 1
0 12 11
0 1 2
10 12 1
12 12 12
12 11 11
1 0 12
11 11 11
10 12 11
12 1 1
12 12 1
12 1 12
12 12 12
12 12 12
11 11 0
1 1 1
0 10 11
12 12 12
1 3 1
12 10 11
12 11 11
1 12 11
1 1 12
1 1 1
12 12 1
12 12 1
1 12 11
