0.5 0.5 0.5
0.3 0.5 0.49
0.49 0.5 0.5
0.46 0.54 0.53
0.49 0.5 0.63
0.5 0.5 0.5
0.48 0.5 0.52
0.58 0.51 0.61
0.49 0.61 0.66
0.41 0.5 0.5
0.5 0.5 0.5
0.5 0.5 0.5
0.28 0.5 0.24
0.36 0.5 0.5
0.44 0.5 0.49
0.5 0.5 0.49
0.49 0.5 0.5
0.49 0.5 0.61
0.49 0.5 0.63
0.38 0.63 0.5
0.58 0.5 0.67
0.34 0.5 0.27
0.46 0.5 0.58
0.44 0.5 0.5
0.47 0.5 0.5
0.51 0.5 0.5
0.5 0.5 0.56
0.5 0.25 0.49
0.5 0.5 0.48
0.5 0.61 0.61
0.38 0.49 0.5
0.45 0.5 0.49
0.49 0.63 0.63
0.49 0.5 0.49
0.49 0.5 0.49
nan 0.49 0.49
0.49 0.61 0.5
0.49 0.5 0.48
nan 0.5 0.5
0.36 0.51 0.25
0.36 0.5 0.35
0.5 0.56 0.53
0.61 0.5 0.37
0.49 0.5 0.5
0.36 0.5 0.5
0.5 0.5 0.61
0.49 0.49 0.5
0.42 0.49 0.56
0.43 0.5 0.5
0.62 0.5 0.5
0.49 0.5 0.58
0.5 0.57 0.54
0.49 0.5 0.51
0.49 0.5 0.5
0.49 0.5 0.49
0.56 0.5 0.58
0.5 0.61 0.49
0.49 0.5 0.5
0.43 0.64 0.58
0.49 0.5 0.5
0.39 0.5 0.37
0.49 0.5 0.56
0.37 0.49 0.5
0.49 0.5 0.5
0.51 0.59 0.53
0.28 0.5 0.24
0.44 0.5 0.44
0.38 0.49 0.24
0.49 0.5 0.5
0.49 0.5 0.58
0.49 0.5 0.41
0.46 0.5 0.5
0.49 0.6 0.49
0.49 0.49 0.49
0.46 0.49 0.55
0.42 0.49 0.6
0.49 0.49 0.5
0.5 0.5 0.42
0.49 0.5 0.49
0.39 0.5 0.5
0.5 0.5 0.51
0.51 0.5 0.49
0.49 0.66 0.73
0.49 0.59 0.39
0.49 0.5 0.5
0.49 0.5 0.5
0.48 0.5 0.49
0.48 0.5 0.49
0.39 0.51 0.28
nan 0.5 0.57
0.44 0.58 0.59
0.49 0.6 0.5
0.5 0.54 0.55
0.36 0.5 0.53
0.4 0.5 0.28
0.36 0.5 0.49
0.49 0.5 0.41
0.5 0.5 0.61
0.37 0.5 nan
0.46 0.5 0.36
0.6 0.5 0.64
0.49 0.5 0.49
0.49 0.5 0.54
0.5 0.5 0.5
0.57 0.51 0.61
0.32 0.5 0.38
0.46 0.49 0.5
0.42 0.51 0.5
0.46 0.5 0.49
0.45 0.5 0.58
0.44 0.5 0.33
0.5 0.56 0.5
0.36 0.51 0.48
0.46 0.49 0.57
0.44 0.49 0.22
0.51 0.5 0.5
0.28 0.5 0.5
0.45 0.62 0.37
0.4 0.5 0.5
0.49 0.5 0.59
0.49 0.51 0.5
0.45 0.5 0.54
0.5 0.5 0.49
0.5 0.61 0.5
0.41 0.5 0.49
0.39 0.49 0.4
0.49 0.49 0.48
0.5 0.55 0.51
0.37 0.5 0.26
0.46 0.5 0.49
0.49 0.5 0.6
0.46 0.61 0.56
0.5 0.57 0.38
