'shrewd', Angle: NaN, Intensity: 0.000000
'shrewdness', Angle: NaN, Intensity: 0.000000
'significance', Angle: 71.737106, Intensity: 0.420000
'significant', Angle: 71.748108, Intensity: 0.400000
'signify', Angle: NaN, Intensity: 0.000000
'simplicity', Angle: 50.964489, Intensity: 0.380000
'simplify', Angle: 347.675262, Intensity: 0.490000
'sincere', Angle: 341.565063, Intensity: 0.510000
'sincerity', Angle: 341.416992, Intensity: 0.490000
'skill', Angle: 279.637543, Intensity: 0.430000
'skillful', Angle: 279.111359, Intensity: 0.430000
'sleek', Angle: 26.306963, Intensity: 0.400000
'smart', Angle: NaN, Intensity: 0.000000
'smile', Angle: 347.101257, Intensity: 0.540000
'smitten', Angle: NaN, Intensity: 0.000000
'sober', Angle: 297.392365, Intensity: 0.500000
'sociable', Angle: 342.897278, Intensity: 0.490000
'softness', Angle: 360.000000, Intensity: 0.480000
'solace', Angle: 332.510895, Intensity: 0.550000
'solution', Angle: NaN, Intensity: 0.000000
'soothe', Angle: 317.161072, Intensity: 0.600000
'sophisticated', Angle: 342.728271, Intensity: 0.500000
'sought', Angle: NaN, Intensity: 0.000000
'soundness', Angle: 20.339222, Intensity: 0.490000
'sparkle', Angle: 324.309937, Intensity: 0.350000
'special', Angle: 13.448615, Intensity: 0.570000
'spectacular', Angle: 307.195892, Intensity: 0.560000
