23 339 327
10 344 0
21 14 14
343 0 5
0 20 23
327 316 334
345 360 8
304 343 339
360 17 16
311 72 327
305 319 305
1 30 20
7 30 11
28 12 1
22 15 23
279 302 283
284 323 326
333 343 306
21 9 360
345 35 52
23 339 326
355 0 340
360 33 14
21 0 358
360 33 0
15 348 1
18 17 14
25 8 0
280 270 281
23 277 32
303 344 317
27 11 31
22 0 360
349 9 1
331 349 57
280 305 282
278 319 303
344 11 14
277 308 275
280 35 13
347 345 1
283 31 15
17 23 0
360 33 0
20 20 0
19 52 32
23 279 27
14 355 0
279 326 326
225 326 299
279 329 294
336 340 311
39 33 40
360 14 32
17 345 12
19 24 19
1 29 0
347 348 335
297 326 304
333 346 337
49 330 28
346 356 13
284 300 297
346 315 9
16 5 15
311 297 0
345 353 1
311 0 324
346 14 21
19 25 20
18 346 23
343 359 355
0 70 49
303 318 306
46 7 34
360 0 14
360 35 65
346 346 360
340 325 0
22 19 45
355 348 2
13 360 360
360 360 11
346 354 13
30 10 19
22 0 359
0 0 16
280 319 328
1 284 24
23 20 359
347 354 1
0 354 18
0 32 18
14 359 3
20 347 0
349 13 5
344 296 6
285 308 318
345 0 329
348 10 2
283 347 326
281 305 285
22 12 26
50 329 32
293 322 301
339 326 0
30 10 24
290 316 0
279 316 295
303 343 317
284 304 299
14 343 1
281 302 283
10 303 18
11 360 22
