'damnable', Angle: 227.290619, Intensity: 0.500000
'damned', Angle: 228.596710, Intensity: 0.500000
'danger', Angle: 232.380646, Intensity: 0.550000
'dangerous', Angle: 231.340195, Intensity: 0.610000
'dark', Angle: 179.537949, Intensity: 0.500000
'darken', Angle: 168.326294, Intensity: 0.490000
'darkness', Angle: 168.511017, Intensity: 0.500000
'darn', Angle: 270.000000, Intensity: 0.500000
'daunting', Angle: 227.910828, Intensity: 0.500000
'dawdle', Angle: 130.156006, Intensity: 0.500000
'daze', Angle: 233.403366, Intensity: 0.500000
'dead', Angle: 180.000000, Intensity: 0.500000
'deadlock', Angle: 113.078224, Intensity: 0.500000
'deadly', Angle: 207.377701, Intensity: 0.500000
'deadweight', Angle: 154.653824, Intensity: 0.500000
'deaf', Angle: 128.873062, Intensity: 0.500000
'deafness', Angle: 129.160507, Intensity: 0.500000
'deal#6', Angle: 269.545288, Intensity: 0.500000
'dearth', Angle: 167.074005, Intensity: 0.500000
'death', Angle: 171.674347, Intensity: 0.500000
'debatable', Angle: 110.449554, Intensity: 0.250000
'debtor', Angle: 163.033844, Intensity: 0.490000
'decadence', Angle: 204.934296, Intensity: 0.500000
'decadent', Angle: 206.565048, Intensity: 0.500000
'decay', Angle: 205.542023, Intensity: 0.500000
'decease', Angle: 211.682373, Intensity: 0.600000
'deceit', Angle: 207.377701, Intensity: 0.500000
